age,gender,signs_of_mental_illness,threat_level,flee,body_camera,african_american
39,1,0,1,0,0,FALSE
40,1,1,1,0,0,
47,1,0,1,0,1,FALSE
23,1,1,1,0,0,FALSE
26,1,0,0,0,0,TRUE
26,1,1,1,0,0,FALSE
18,1,1,1,1,0,FALSE
33,1,0,0,1,0,FALSE
56,1,1,1,0,0,FALSE
46,1,0,1,1,0,FALSE
36,1,0,1,0,0,FALSE
50,1,0,1,0,0,FALSE
45,0,0,0,1,0,FALSE
53,1,0,1,0,0,FALSE
45,1,0,1,1,0,FALSE
42,1,1,0,0,0,FALSE
27,1,0,1,1,0,FALSE
30,1,0,1,0,1,TRUE
36,1,0,1,0,0,FALSE
58,1,1,1,0,0,FALSE
54,1,1,1,0,0,
30,1,1,0,0,1,FALSE
69,1,1,1,0,0,FALSE
30,1,0,1,0,0,FALSE
45,1,0,1,1,0,FALSE
22,1,0,1,0,0,TRUE
28,1,0,0,1,0,FALSE
19,1,0,1,0,0,TRUE
40,1,0,1,0,0,TRUE
86,1,1,1,0,0,
46,1,0,0,0,0,TRUE
28,1,1,1,0,0,FALSE
22,1,1,0,0,0,FALSE
17,0,1,1,0,0,FALSE
46,1,0,1,0,0,FALSE
35,1,0,0,0,0,TRUE
35,1,1,1,0,0,FALSE
28,1,0,1,1,0,FALSE
15,1,1,1,0,0,FALSE
22,1,0,0,1,0,TRUE
28,1,0,1,0,0,FALSE
31,1,0,1,0,0,FALSE
40,0,0,1,1,0,FALSE
48,1,1,1,0,0,FALSE
58,1,0,1,1,0,FALSE
44,1,1,0,1,0,FALSE
21,1,1,1,0,0,TRUE
50,1,0,1,0,0,FALSE
23,1,0,1,1,0,TRUE
24,1,1,0,0,0,FALSE
49,1,1,0,0,0,FALSE
60,1,0,1,1,0,FALSE
35,1,0,1,0,0,FALSE
29,1,1,1,0,0,FALSE
20,1,0,1,1,0,TRUE
34,1,0,0,1,0,FALSE
22,1,0,1,0,0,FALSE
49,1,1,0,1,0,FALSE
32,1,0,1,0,0,FALSE
26,1,0,1,0,1,TRUE
41,1,1,0,0,0,TRUE
61,1,0,1,0,0,FALSE
49,1,0,1,0,0,FALSE
28,1,0,0,1,0,FALSE
35,1,0,1,0,1,FALSE
29,1,0,1,0,0,FALSE
51,1,1,1,0,0,FALSE
52,1,0,1,0,0,FALSE
24,1,0,1,1,0,TRUE
32,1,0,1,1,0,FALSE
45,1,1,1,0,0,FALSE
60,1,0,0,0,0,FALSE
23,1,0,1,1,0,TRUE
59,1,1,1,0,0,
46,1,0,1,0,0,FALSE
33,1,1,1,0,0,FALSE
39,1,0,1,0,0,FALSE
27,1,0,1,0,0,FALSE
42,1,0,1,1,0,TRUE
37,1,0,1,0,0,FALSE
23,1,0,1,1,0,TRUE
36,1,0,1,0,0,FALSE
19,1,0,1,1,0,FALSE
35,1,0,1,1,0,FALSE
43,1,0,0,0,0,FALSE
25,1,1,1,0,0,FALSE
20,1,0,1,0,0,FALSE
42,1,1,0,0,1,FALSE
29,1,0,1,0,0,TRUE
42,1,0,1,1,0,FALSE
31,1,1,1,0,0,FALSE
18,1,0,1,0,0,TRUE
33,1,0,0,0,0,FALSE
59,1,0,1,0,0,FALSE
47,1,0,1,0,0,FALSE
39,1,1,1,0,0,FALSE
37,1,0,1,1,0,TRUE
35,1,0,1,1,0,FALSE
28,1,0,0,0,0,FALSE
59,1,0,1,0,0,FALSE
62,1,0,1,1,1,FALSE
50,1,0,1,0,0,FALSE
68,1,0,1,1,0,FALSE
27,1,0,1,1,0,TRUE
17,1,1,1,0,0,FALSE
21,1,0,0,0,0,TRUE
38,1,0,1,0,0,FALSE
54,1,1,1,0,1,FALSE
20,1,0,1,0,0,TRUE
25,1,0,1,0,0,TRUE
31,1,0,1,0,0,FALSE
35,1,1,0,1,0,FALSE
60,1,0,1,1,0,FALSE
24,1,0,1,0,0,FALSE
27,1,0,1,0,0,FALSE
36,1,0,1,0,0,TRUE
20,1,0,1,0,0,TRUE
24,1,0,1,1,0,FALSE
23,1,0,1,0,0,FALSE
41,1,0,0,0,0,FALSE
20,1,0,1,0,0,TRUE
76,1,0,1,0,0,
43,1,1,0,0,0,FALSE
29,1,1,0,0,0,FALSE
35,1,0,1,0,0,TRUE
30,1,0,1,0,0,FALSE
24,1,1,1,0,0,FALSE
23,1,0,1,0,0,FALSE
29,1,0,1,1,0,FALSE
25,1,1,0,0,0,TRUE
27,1,0,0,1,0,FALSE
50,1,1,1,0,0,FALSE
19,1,0,1,1,0,TRUE
24,1,0,0,0,0,FALSE
23,1,0,1,1,0,TRUE
22,1,1,1,0,0,FALSE
46,1,0,1,0,0,FALSE
65,1,0,1,0,0,FALSE
43,1,0,0,1,1,TRUE
35,1,0,1,0,0,FALSE
54,1,0,0,0,0,FALSE
47,1,0,0,0,0,FALSE
24,1,0,0,1,0,FALSE
35,1,0,1,0,0,FALSE
25,1,0,1,0,0,FALSE
27,1,0,1,0,0,TRUE
26,1,0,0,0,0,TRUE
34,1,0,1,0,0,TRUE
32,1,0,1,0,0,FALSE
47,1,0,1,0,0,FALSE
